date,1. open,2. high,3. low,4. close,5. volume
2021-10-08 13:37:00,142.73,142.735,142.66,142.695,68170.0
2021-10-08 13:36:00,142.765,142.77,142.698,142.73,110226.0
2021-10-08 13:35:00,142.7518,142.79,142.685,142.77,81590.0
2021-10-08 13:34:00,142.699,142.77,142.6655,142.76,117898.0
2021-10-08 13:33:00,142.6946,142.7,142.64,142.6985,65545.0
2021-10-08 13:32:00,142.69,142.7362,142.6884,142.69,62174.0
2021-10-08 13:31:00,142.65,142.76,142.62,142.6898,149749.0
2021-10-08 13:30:00,142.68,142.728,142.67,142.67,81308.0
2021-10-08 13:29:00,142.626,142.68,142.626,142.68,86207.0
2021-10-08 13:28:00,142.68,142.68,142.56,142.625,142770.0
2021-10-08 13:27:00,142.6799,142.72,142.675,142.6899,74769.0
2021-10-08 13:26:00,142.64,142.7099,142.635,142.67,52313.0
2021-10-08 13:25:00,142.64,142.69,142.64,142.6408,111853.0
2021-10-08 13:24:00,142.71,142.7164,142.635,142.64,122698.0
2021-10-08 13:23:00,142.73,142.74,142.68,142.7088,69946.0
2021-10-08 13:22:00,142.73,142.765,142.69,142.73,157159.0
2021-10-08 13:21:00,142.66,142.735,142.65,142.73,83103.0
2021-10-08 13:20:00,142.6922,142.75,142.64,142.66,149612.0
2021-10-08 13:19:00,142.67,142.7109,142.65,142.69,51194.0
2021-10-08 13:18:00,142.6109,142.69,142.6109,142.6606,162734.0
2021-10-08 13:17:00,142.736,142.75,142.56,142.615,184914.0
2021-10-08 13:16:00,142.9229,142.93,142.71,142.73,296479.0
2021-10-08 13:15:00,142.96,142.97,142.92,142.92,48406.0
2021-10-08 13:14:00,142.985,142.9874,142.95,142.96,237410.0
2021-10-08 13:13:00,142.96,142.99,142.945,142.98,50431.0
2021-10-08 13:12:00,142.93,142.99,142.93,142.955,86864.0
2021-10-08 13:11:00,142.8899,142.929,142.875,142.929,39462.0
2021-10-08 13:10:00,142.9082,142.92,142.8832,142.89,44588.0
2021-10-08 13:09:00,142.91,142.93,142.8726,142.9063,52256.0
2021-10-08 13:08:00,142.89,142.92,142.87,142.92,53688.0
2021-10-08 13:07:00,142.8526,142.91,142.85,142.8703,63140.0
2021-10-08 13:06:00,142.89,142.93,142.86,142.86,95460.0
2021-10-08 13:05:00,143.0015,143.005,142.87,142.8899,119619.0
2021-10-08 13:04:00,143.0299,143.04,143.0038,143.005,32948.0
2021-10-08 13:03:00,142.99,143.06,142.99,143.03,55680.0
2021-10-08 13:02:00,143.01,143.05,142.982,143.0,53252.0
2021-10-08 13:01:00,142.975,143.03,142.97,143.0,89339.0
2021-10-08 13:00:00,142.995,143.06,142.97,142.97,75143.0
2021-10-08 12:59:00,143.0501,143.0544,142.9999,142.9999,84520.0
2021-10-08 12:58:00,143.05,143.08,143.05,143.06,40947.0
2021-10-08 12:57:00,143.0675,143.0984,143.0533,143.06,40909.0
2021-10-08 12:56:00,143.1114,143.12,143.0601,143.0703,52748.0
2021-10-08 12:55:00,143.14,143.14,143.09,143.1127,34816.0
2021-10-08 12:54:00,143.0911,143.1401,143.065,143.135,50936.0
2021-10-08 12:53:00,143.15,143.15,143.09,143.095,70764.0
2021-10-08 12:52:00,143.16,143.18,143.13,143.1401,61925.0
2021-10-08 12:51:00,143.1301,143.18,143.115,143.16,71381.0
2021-10-08 12:50:00,143.095,143.145,143.07,143.1332,67772.0
2021-10-08 12:49:00,143.0751,143.12,143.06,143.1,48560.0
2021-10-08 12:48:00,143.08,143.0876,143.04,143.0701,46307.0
2021-10-08 12:47:00,143.1,143.12,143.055,143.07,66432.0
2021-10-08 12:46:00,143.1225,143.125,143.085,143.095,56733.0
2021-10-08 12:45:00,143.14,143.16,143.11,143.1189,58542.0
2021-10-08 12:44:00,143.1436,143.16,143.11,143.135,59126.0
2021-10-08 12:43:00,143.21,143.22,143.12,143.14,96730.0
2021-10-08 12:42:00,143.23,143.25,143.19,143.209,103902.0
2021-10-08 12:41:00,143.13,143.24,143.11,143.225,170246.0
2021-10-08 12:40:00,143.0541,143.17,143.0541,143.13,209916.0
2021-10-08 12:39:00,143.015,143.06,143.0049,143.0501,69874.0
2021-10-08 12:38:00,143.01,143.03,142.98,143.0176,43164.0
2021-10-08 12:37:00,142.97,143.03,142.965,143.0,49080.0
2021-10-08 12:36:00,142.945,143.0,142.9433,142.975,108605.0
2021-10-08 12:35:00,142.91,142.99,142.87,142.94,128730.0
2021-10-08 12:34:00,142.87,142.91,142.8,142.905,161165.0
2021-10-08 12:33:00,142.88,142.88,142.83,142.86,86818.0
2021-10-08 12:32:00,142.905,142.96,142.885,142.89,110354.0
2021-10-08 12:31:00,142.8507,142.92,142.81,142.9,144077.0
2021-10-08 12:30:00,142.92,142.92,142.83,142.8595,104921.0
2021-10-08 12:29:00,142.88,142.92,142.88,142.9141,69251.0
2021-10-08 12:28:00,142.875,142.92,142.875,142.885,87016.0
2021-10-08 12:27:00,142.91,142.92,142.87,142.878,87428.0
2021-10-08 12:26:00,142.99,143.004,142.89,142.9046,173896.0
2021-10-08 12:25:00,143.04,143.04,142.98,142.985,52444.0
2021-10-08 12:24:00,142.96,143.0499,142.94,143.045,82571.0
2021-10-08 12:23:00,143.01,143.02,142.95,142.95,78741.0
2021-10-08 12:22:00,143.02,143.03,142.9954,143.0075,55621.0
2021-10-08 12:21:00,143.03,143.07,143.0,143.03,66880.0
2021-10-08 12:20:00,143.04,143.055,143.0089,143.02,114213.0
2021-10-08 12:19:00,142.99,143.045,142.9751,143.0353,76346.0
2021-10-08 12:18:00,143.01,143.02,142.95,142.99,71672.0
2021-10-08 12:17:00,143.02,143.08,143.015,143.02,58526.0
2021-10-08 12:16:00,143.041,143.07,142.9901,143.025,93312.0
2021-10-08 12:15:00,143.005,143.065,143.005,143.042,96854.0
2021-10-08 12:14:00,142.9717,143.02,142.92,143.0,167674.0
2021-10-08 12:13:00,143.015,143.03,142.965,142.9775,162203.0
2021-10-08 12:12:00,143.0799,143.1,143.01,143.015,91896.0
2021-10-08 12:11:00,143.1599,143.17,143.065,143.075,82592.0
2021-10-08 12:10:00,143.15,143.16,143.125,143.15,53362.0
2021-10-08 12:09:00,143.165,143.18,143.13,143.15,72716.0
2021-10-08 12:08:00,143.18,143.19,143.15,143.175,99116.0
2021-10-08 12:07:00,143.12,143.1972,143.12,143.19,85317.0
2021-10-08 12:06:00,143.12,143.14,143.1099,143.12,116558.0
2021-10-08 12:05:00,143.1047,143.1283,143.0912,143.1113,86088.0
2021-10-08 12:04:00,143.03,143.14,143.01,143.1105,189929.0
2021-10-08 12:03:00,143.005,143.03,142.965,143.03,120514.0
2021-10-08 12:02:00,143.02,143.0277,142.94,143.015,114746.0
2021-10-08 12:01:00,143.02,143.08,142.99,143.02,106192.0
2021-10-08 12:00:00,142.98,143.02,142.98,143.0101,61285.0
2021-10-08 11:59:00,142.98,143.01,142.951,142.973,67060.0
2021-10-08 11:58:00,143.01,143.035,142.98,142.98,67852.0
2021-10-08 11:57:00,143.04,143.05,143.005,143.0147,59732.0
2021-10-08 11:56:00,143.006,143.065,142.9997,143.03,60086.0
2021-10-08 11:55:00,143.08,143.08,143.0,143.01,77337.0
2021-10-08 11:54:00,143.0601,143.1,143.05,143.0809,73674.0
2021-10-08 11:53:00,143.0001,143.065,143.0,143.065,130934.0
2021-10-08 11:52:00,142.9701,143.0154,142.95,143.012,92212.0
2021-10-08 11:51:00,143.07,143.07,142.95,142.97,149520.0
2021-10-08 11:50:00,143.1151,143.14,143.03,143.0654,127550.0
2021-10-08 11:49:00,143.1089,143.15,143.05,143.11,98061.0
2021-10-08 11:48:00,143.09,143.11,143.05,143.095,113665.0
2021-10-08 11:47:00,143.0145,143.12,142.98,143.0905,155530.0
2021-10-08 11:46:00,143.0331,143.08,142.9908,143.02,119118.0
2021-10-08 11:45:00,143.085,143.085,142.97,143.0482,347042.0
